,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,fg_opp,fga_opp,fg_pct_opp,fg2_opp,fg2a_opp,fg2_pct_opp,fg3_opp,fg3a_opp,fg3_pct_opp,ft_opp,fta_opp,ft_pct_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,fg_net,fga_net,fg_pct_net,fg2_net,fg2a_net,fg2_pct_net,fg3_net,fg3a_net,fg3_pct_net,ft_net,fta_net,ft_pct_net,orb_net,drb_net,trb_net,ast_net,stl_net,blk_net,tov_net,pf_net,pts_net
fg,1.0,0.537892663305335,0.7444657900446627,0.8269439408729082,0.45316338535317197,0.6433755992396364,0.3608405451258944,0.11812401143776818,0.3619329577185836,0.008185710832550276,0.005880324750008349,0.020532150939699113,0.1912538747764943,0.2928141078750305,0.33007266958933895,0.6762245071346684,0.20932357819133476,0.15440816709856578,-0.1550814754229841,-0.004925426673243149,0.8641728949646027,0.20011650400830333,0.2966954704195434,-0.00046345076384527893,0.13296164980318909,0.19072135025116693,-0.019251731025274853,0.11726433017603928,0.13976153779638018,0.03189394457208918,0.06583164938317784,0.058019048742633285,0.02678505462890468,0.017212701462917857,-0.24687073869482762,-0.17842168058274677,0.03732266762212142,-0.10121164426214757,-0.13086926399888238,0.09831335925450956,-0.011020739683818856,0.21543976683492885,0.6324365032312131,0.18537266902883748,0.496244651468231,0.501739207040609,0.1931784722863492,0.43907118489842223,0.17169611446780364,-0.020924085559394057,0.23135282635692891,-0.06224068007831877,-0.06262755451983087,-0.0049045161110234355,0.08911305435745713,0.33777272426056176,0.3084264195565472,0.438659182829949,0.18968151941418887,0.1778120784466187,-0.19313209511401594,0.027154676970354934,0.5210792678566578
fga,0.537892663305335,1.0,-0.14943147776805704,0.4615621792940246,0.7194058896018919,-0.11657060591503494,0.16630279685651383,0.3832633631439732,-0.12242262939632591,-0.14284019530471295,-0.1260883811097284,-0.06672431819466333,0.5822540433179236,0.16454287467465228,0.45699186149384374,0.26162282126677877,0.22209891062752551,0.07895982689966533,-0.19113550477934968,0.12698681599720343,0.38802134598456783,0.296433303977412,0.2741569704158191,0.12302291226700586,0.24653217440111513,0.2366330344661862,0.08029890535682946,0.09443573811224865,0.04894392908444803,0.07716508697413195,0.195780510816665,0.20306523580155858,0.03079060510366677,0.04834489380086405,0.4395771286935284,0.36400745999909917,0.17811490932748983,-0.10909651754193532,0.2751180332307071,0.1753042253082141,-0.12185831395203353,0.3500375696739803,0.17672624051456481,0.602567862437147,-0.21017073377200368,0.14552722498334236,0.37775125744032484,-0.15885455437262616,0.03956455362362556,0.22893354977415997,-0.15021830916936119,-0.26745402513634564,-0.27014501124961093,-0.06939526445211415,0.3708622996567779,-0.21553731853186628,0.051498741218149034,0.03550372210842027,0.21678400764237457,-0.14479960490208862,-0.3067623572066786,0.2252176371913621,0.007859341009243353
fg_pct,0.7444657900446627,-0.14943147776805704,1.0,0.6008587081174757,-0.030343341822018297,0.8524420904656385,0.29313614679365746,-0.15987408904261535,0.5288721218006404,0.1237534130685375,0.10694198089196155,0.07834092094055989,-0.22943879409880027,0.20609765840838606,0.024132070975346188,0.579645152043282,0.06457715434124704,0.1152654715386502,-0.033663114777398286,-0.09704742701878499,0.7052415866317078,-0.0002876186792031386,0.12330423851765736,-0.09228581758128529,-0.03771472057798945,0.03274554274677306,-0.08053909052187229,0.05982942642137118,0.11984995128395318,-0.022248432029167216,-0.07250717208089606,-0.08671510250581908,0.006955719442541966,-0.017500724670456887,-0.6260202744242965,-0.48829457606277227,-0.09474601087294565,-0.02980747474518914,-0.3583581666680176,-0.026501359904834428,0.08624493765758154,-0.02271328049898443,0.579835946051322,-0.25806762714869824,0.7389493107046932,0.45439257066341254,-0.07453639620246537,0.6312364930475508,0.16629387319180533,-0.2016003122024564,0.38812258575507846,0.13718728170462455,0.13792265880665577,0.04984023327712735,-0.18624979865259503,0.5521997162818427,0.3115245497247898,0.4691101520424546,0.04502102849337923,0.31047037423196105,0.021305232932309345,-0.1434486553686394,0.5853645460291518
fg2,0.8269439408729082,0.4615621792940246,0.6008587081174757,1.0,0.6846277501931004,0.6407043793751963,-0.22600698300797353,-0.29194379514804897,-0.04971535393140406,0.06386524566988111,0.0770429740212912,-0.0016369063416790946,0.23465100064789562,0.27491922376321065,0.3414022753239568,0.411892199590394,0.2070421344285649,0.170376488669995,-0.10157872648606017,-0.002572199518507402,0.6240675231509689,0.1329846395706606,0.24678384019434432,-0.03784553077149561,0.08732905497186091,0.16035075996638307,-0.04798479981295492,0.07957130414149532,0.11397486212952691,0.005852902400804657,0.045594600044678815,0.04485345952493139,0.009810386701284781,0.017393814054379456,-0.20954352770439413,-0.1498121095726215,0.013050683296182381,-0.07233796334473076,-0.07199170434173102,0.10890041199425356,0.055152035002356305,0.1444838861116218,0.5359174960294842,0.16302592633606605,0.41538949227632127,0.6755611308898171,0.40971086076047974,0.45662759914017736,-0.25031466254184964,-0.3030426591582204,-0.056384573020649156,-0.0014249831024700467,0.007296800561657825,-0.00931199347117416,0.12707190689139966,0.303802420245612,0.3046468007716518,0.25451608788866453,0.1714445146038046,0.15119779649632145,-0.15811563896349684,-0.02981611233694381,0.36486250336725357
fg2a,0.45316338535317197,0.7194058896018919,-0.030343341822018297,0.6846277501931004,1.0,-0.09914860464904683,-0.35047140104311275,-0.36582849666517603,-0.14909651852629338,-0.018254880718459758,0.008150539245469188,-0.057754270954129175,0.48660594097600035,0.17511028844850404,0.41025874479321767,0.08212794940447278,0.18572084703278788,0.11691517697230636,-0.11075071845723655,0.08276834201705528,0.26551008671689097,0.19055110460025051,0.23671094388944625,0.03253339767781882,0.16015794504603087,0.19455584032986423,0.011399151683151134,0.05801200725834142,0.055213710277071774,0.025769319873994136,0.12066132285594543,0.1315928044890935,0.007305788898098505,0.05525849968475647,0.23328540957551303,0.21053438861478324,0.10684155387790165,-0.07475814640277299,0.29834379733320565,0.13450863976479485,-0.006593139202499928,0.22176300225192963,0.19393535514068233,0.3978654597642973,-0.06385748027182131,0.38498306376169555,0.634721925182345,-0.09728801756573616,-0.31269824266810803,-0.306148067823194,-0.13156688928985572,-0.11383530126822579,-0.10677694700256277,-0.04655917963320037,0.2989218624322883,-0.058323595553240015,0.12921078331252073,-0.041314921392890704,0.17081560982707858,-0.13294898962108603,-0.20205124266401714,0.08476476185990749,0.011972728860633056
fg2_pct,0.6433755992396364,-0.11657060591503494,0.8524420904656385,0.6407043793751963,-0.09914860464904683,1.0,0.051913507903691446,-0.024349142683418323,0.08545208231514509,0.10791183662141118,0.09731670960239776,0.060217428689025174,-0.18088464374069077,0.18352810312410608,0.03488740162701271,0.46213761167527145,0.08077820103889498,0.10691430602341205,-0.02714387040037028,-0.08348129015780208,0.564648276602231,-0.019061516495684352,0.08052189959524268,-0.0804862284400551,-0.04781915746004947,0.011603839632864757,-0.07313819293247646,0.04503986442113436,0.09125245314688735,-0.016627798414927734,-0.06150739040568363,-0.07351707898438556,0.005611795131884582,-0.034955399805860134,-0.5218668075582729,-0.41899494169582463,-0.09224065135196993,-0.01832761374697321,-0.39917230757510525,0.002871117035439265,0.08199221842106916,-0.03516095256703869,0.508460194510126,-0.19335153098733457,0.6256192307173524,0.49506672898731185,-0.1124760518953944,0.732471014720326,-0.0068883593937396626,-0.08382931624480697,0.06080464926505083,0.11600463229769539,0.11917436287379103,0.03769614338599973,-0.1377002676491694,0.46292773206915133,0.2718661959070972,0.3777394093684244,0.04891468534456963,0.33328486866001983,0.000559219755651414,-0.1267122635457507,0.4706596418398963
fg3,0.3608405451258944,0.16630279685651383,0.29313614679365746,-0.22600698300797353,-0.35047140104311275,0.051913507903691446,1.0,0.6888728718248999,0.7094881419639038,-0.09174819210596478,-0.11759925361614129,0.0382832035583872,-0.057865152133284525,0.051291674416992304,0.005568543635268904,0.4883394741789962,0.019232758893846392,-0.015089947986257863,-0.10018726133470983,-0.004266667631972653,0.4620268178251064,0.11723286562558004,0.09446301368757863,0.05975654473628326,0.07953714080160525,0.057982389448664656,0.04499798494578415,0.06606567525339313,0.04813629873203002,0.04321795492863099,0.035611926827892236,0.023917940186319223,0.028468231579449665,0.0005601160361191699,-0.0718789793544676,-0.05455906221725943,0.040656972650549246,-0.05116977503249409,-0.10061448542418618,-0.012076800734030932,-0.10636402604938117,0.1241044934987997,0.1855696094370073,0.04488703229765109,0.1537974206877953,-0.2531973055079128,-0.33673035413444535,-0.006399596395997547,0.683333218450201,0.4501159793637698,0.47155549139882813,-0.10032585503134098,-0.11491103302071887,0.006803998156286258,-0.05630251233285148,0.07099836299347051,0.021270290377436562,0.3161271368344936,0.038527674737446095,0.05133820831159669,-0.06553082132804046,0.09244518907611685,0.27553768483091323
fg3a,0.11812401143776818,0.3832633631439732,-0.15987408904261535,-0.29194379514804897,-0.36582849666517603,-0.024349142683418323,0.6888728718248999,1.0,0.034228545096612134,-0.16711719088273808,-0.1797843221343019,-0.012605595902013565,0.13309327300960044,-0.012383669012903177,0.06677783182462073,0.24133828099161064,0.050626251546271255,-0.04967091525584424,-0.1088307368301917,0.06008768758351226,0.16684534129884915,0.13970043364211193,0.04886387195155167,0.11980872118719098,0.11394662040973184,0.05513589588143731,0.09126655587482321,0.0480814240143459,-0.00848526397259993,0.06802498979849984,0.09915839399603524,0.09429085888696613,0.03110065964702681,-0.009338576844778554,0.2726220622218273,0.20270186513733493,0.09410631391743603,-0.045264366015157965,-0.03173320641611402,0.0536298537538573,-0.1527234551021465,0.1692739081130668,-0.023425843539691137,0.26998892498720506,-0.1936836850031488,-0.3185496686872303,-0.34255933401523,-0.08127383922884321,0.46780523022856646,0.7100480781723094,-0.02429475593595216,-0.20320454137179175,-0.21614656105682575,-0.03011663101349326,0.09437519556853458,-0.2081462507500768,-0.10339451167728463,0.1019291446536373,0.06036837994103156,-0.015278189346729533,-0.13811173381263903,0.18585080568749804,-0.005489229612722709
fg3_pct,0.3619329577185836,-0.12242262939632591,0.5288721218006404,-0.04971535393140406,-0.14909651852629338,0.08545208231514509,0.7094881419639038,0.034228545096612134,1.0,0.029831249930721792,0.006436118343261623,0.06289135614648186,-0.19615167071495898,0.06874460589941317,-0.06035831408694191,0.4218469612323923,-0.022364144480850567,0.02088475063407109,-0.03670082741626225,-0.05111897067571487,0.45581696083071754,0.031957490321131744,0.07731194752947738,-0.022277182218683425,0.0058980343880820725,0.02583820587264895,-0.016643619411691204,0.04324650312774211,0.06809971927919502,-0.0016457521411729398,-0.03299815866040857,-0.04425275649733563,0.01178443834401008,0.010297448725297493,-0.33202440523979515,-0.2474998835007673,-0.030114569901779478,-0.02993220901219951,-0.10216586988922437,-0.06261753653648687,-0.00038906404977129613,0.018237486093835315,0.25885493216356825,-0.17659389013350127,0.37165819647372617,-0.05910540832872683,-0.14678796275664485,0.058753506171086566,0.4883257596805592,-0.024269199236885763,0.7076783052548087,0.04502248266743645,0.03692967162033037,0.035462361221830656,-0.15763189710515058,0.26996922574140386,0.11365474454541342,0.3216166913311713,-0.001293552241555712,0.0783332781711096,0.03332309139301411,-0.039851744848711415,0.36186284367546917
ft,0.008185710832550276,-0.14284019530471295,0.1237534130685375,0.06386524566988111,-0.018254880718459758,0.10791183662141118,-0.09174819210596478,-0.16711719088273808,0.029831249930721792,1.0,0.925074821351515,0.41294830371143315,0.08325023094978551,0.21167258681924456,0.2071506570203033,0.002664290296025875,0.0939112260053677,0.10030377574073848,0.008413222521314625,0.18912140819051038,0.46496729129905673,0.06584565650096867,0.19575011279469928,-0.07242227101882591,0.04580829872531143,0.12082478333788553,-0.061400054960590485,0.03529196670083353,0.09885861998603178,-0.033192182023072406,0.14660733196539769,0.16520506072018837,-0.004425675739842532,0.05178839225534501,-0.14541944855990685,-0.08068240255236866,-0.055782896504489754,-0.01971127979882615,-0.06442878659217852,0.11888089941430109,0.7959746849879031,0.13305854191223818,-0.06429805497649965,-0.2899724138511616,0.12120121287634532,-0.0015320528150619085,-0.1172929964686884,0.10337387652518726,-0.09566804234174248,-0.1867136409962747,0.041694319431947395,0.6532045541026238,0.599242754289511,0.3018692847908302,0.01293400344034014,0.2445691338046544,0.19337102841407078,0.031759051550007834,0.07877026627698117,0.10815739228817568,-0.07516959149584834,-0.5059471787326573,0.27696629658148303
