conference,team,tm_link,year
ACC,Duke,duke,2001.0
Pac-10,Arizona,arizona,2001.0
Pac-10,Stanford,stanford,2001.0
Big Ten,Michigan State,michigan-state,2001.0
ACC,Maryland,maryland,2001.0
Big Ten,Illinois,illinois,2001.0
SEC (East),Florida,florida,2001.0
ACC,Wake Forest,wake-forest,2001.0
SEC (East),Kentucky,kentucky,2001.0
Big 12,Kansas,kansas,2001.0
ACC,North Carolina,north-carolina,2001.0
ACC,Virginia,virginia,2001.0
Big East (East),Boston College,boston-college,2001.0
Big Ten,Indiana,indiana,2001.0
Pac-10,UCLA,ucla,2001.0
SEC (West),Arkansas,arkansas,2001.0
Pac-10,Southern California,southern-california,2001.0
A-10,Temple,temple,2001.0
CUSA (American),Cincinnati,cincinnati,2001.0
Big 12,Iowa State,iowa-state,2001.0
Big Ten,Ohio State,ohio-state,2001.0
WAC,Fresno State,fresno-state,2001.0
Big 12,Oklahoma,oklahoma,2001.0
SEC (East),Tennessee,tennessee,2001.0
SEC (West),Mississippi,mississippi,2001.0
Big Ten,Wisconsin,wisconsin,2001.0
Pac-10,California,california,2001.0
Big Ten,Purdue,purdue,2001.0
ACC,Georgia Tech,georgia-tech,2001.0
Big East (West),Notre Dame,notre-dame,2001.0
Big 12,Texas,texas,2001.0
CUSA (American),Charlotte,charlotte,2001.0
Big Ten,Iowa,iowa,2001.0
SEC (West),Alabama,alabama,2001.0
Big East (East),Providence,providence,2001.0
WAC,Tulsa,tulsa,2001.0
CUSA (National),Memphis,memphis,2001.0
SEC (West),Mississippi State,mississippi-state,2001.0
A-10,Saint Joseph's,saint-josephs,2001.0
SEC (East),Georgia,georgia,2001.0
WCC,Gonzaga,gonzaga,2001.0
MW Coll,Butler,butler,2001.0
Big Ten,Penn State,penn-state,2001.0
MVC,Creighton,creighton,2001.0
ACC,North Carolina State,north-carolina-state,2001.0
A-10,Xavier,xavier,2001.0
Big East (West),Georgetown,georgetown,2001.0
WAC,Texas Christian,texas-christian,2001.0
SEC (West),Auburn,auburn,2001.0
Big East (West),Syracuse,syracuse,2001.0
Big 12,Colorado,colorado,2001.0
Pac-10,Arizona State,arizona-state,2001.0
CUSA (National),Southern Mississippi,southern-mississippi,2001.0
MWC,Brigham Young,brigham-young,2001.0
Big 12,Oklahoma State,oklahoma-state,2001.0
Big 12,Missouri,missouri,2001.0
SEC (West),Louisiana State,louisiana-state,2001.0
CUSA (National),South Florida,south-florida,2001.0
MWC,Utah,utah,2001.0
Big East (East),Connecticut,connecticut,2001.0
CUSA (American),Saint Louis,saint-louis,2001.0
SEC (East),South Carolina,south-carolina,2001.0
Big West,Utah State,utah-state,2001.0
WCC,Pepperdine,pepperdine,2001.0
A-10,Dayton,dayton,2001.0
Big Ten,Minnesota,minnesota,2001.0
CAA,Richmond,richmond,2001.0
Big East (East),St. John's (NY),st-johns-ny,2001.0
MWC,Wyoming,wyoming,2001.0
Pac-10,Oregon,oregon,2001.0
MAC (East),Kent State,kent-state,2001.0
Sun Belt (East),Western Kentucky,western-kentucky,2001.0
SEC (East),Vanderbilt,vanderbilt,2001.0
A-10,George Washington,george-washington,2001.0
Big East (East),Villanova,villanova,2001.0
Big 12,Nebraska,nebraska,2001.0
A-10,Massachusetts,massachusetts,2001.0
WAC,Southern Methodist,southern-methodist,2001.0
MW Coll,Detroit Mercy,detroit-mercy,2001.0
WAC,Texas-El Paso,texas-el-paso,2001.0
A-10,St. Bonaventure,st-bonaventure,2001.0
Big East (East),Miami (FL),miami-fl,2001.0
Big 12,Baylor,baylor,2001.0
Big East (West),Pittsburgh,pittsburgh,2001.0
MAC (West),Toledo,toledo,2001.0
MWC,New Mexico,new-mexico,2001.0
MVC,Indiana State,indiana-state,2001.0
WAC,Hawaii,hawaii,2001.0
CUSA (American),Marquette,marquette,2001.0
CUSA (National),Alabama-Birmingham,alabama-birmingham,2001.0
Big East (West),Seton Hall,seton-hall,2001.0
MVC,Illinois State,illinois-state,2001.0
Big Sky,Cal State Northridge,cal-state-northridge,2001.0
MWC,Colorado State,colorado-state,2001.0
MAC (East),Marshall,marshall,2001.0
CUSA (American),DePaul,depaul,2001.0
A-Sun,Georgia State,georgia-state,2001.0
CAA,George Mason,george-mason,2001.0
AEC,Hofstra,hofstra,2001.0
MAC (East),Ohio,ohio,2001.0
Big East (West),Rutgers,rutgers,2001.0
MAC (East),Miami (OH),miami-oh,2001.0
MWC,Nevada-Las Vegas,nevada-las-vegas,2001.0
WCC,San Diego,san-diego,2001.0
Pac-10,Oregon State,oregon-state,2001.0
WAC,San Jose State,san-jose-state,2001.0
Big 12,Kansas State,kansas-state,2001.0
Pac-10,Washington State,washington-state,2001.0
Big East (West),West Virginia,west-virginia,2001.0
Big Ten,Northwestern,northwestern,2001.0
Mid-Cont,Valparaiso,valparaiso,2001.0
Big Ten,Michigan,michigan,2001.0
ACC,Florida State,florida-state,2001.0
MVC,Bradley,bradley,2001.0
MAC (West),Ball State,ball-state,2001.0
Mid-Cont,Southern Utah,southern-utah,2001.0
WCC,Santa Clara,santa-clara,2001.0
MW Coll,Milwaukee,milwaukee,2001.0
CUSA (American),Louisville,louisville,2001.0
ACC,Clemson,clemson,2001.0
CAA,North Carolina-Wilmington,north-carolina-wilmington,2001.0
MVC,Southern Illinois,southern-illinois,2001.0
WAC,Rice,rice,2001.0
MWC,San Diego State,san-diego-state,2001.0
A-10,La Salle,la-salle,2001.0
Big West,California-Irvine,california-irvine,2001.0
MW Coll,Cleveland State,cleveland-state,2001.0
MAC (East),Bowling Green State,bowling-green-state,2001.0
AEC,Delaware,delaware,2001.0
Sun Belt (West),South Alabama,south-alabama,2001.0
Southern (South),College of Charleston,college-of-charleston,2001.0
MW Coll,Wright State,wright-state,2001.0
Sun Belt (West),New Mexico State,new-mexico-state,2001.0
OVC,Eastern Illinois,eastern-illinois,2001.0
MAC (West),Central Michigan,central-michigan,2001.0
MVC,Drake,drake,2001.0
WAC,Nevada,nevada,2001.0
MAAC,Siena,siena,2001.0
Big West,Pacific,pacific,2001.0
A-10,Fordham,fordham,2001.0
Sun Belt (West),Louisiana-Lafayette,louisiana-lafayette,2001.0
MVC,Missouri State,missouri-state,2001.0
MAAC,Iona,iona,2001.0
CAA,Virginia Commonwealth,virginia-commonwealth,2001.0
Big 12,Texas Tech,texas-tech,2001.0
Big Sky,Eastern Washington,eastern-washington,2001.0
MW Coll,Illinois-Chicago,illinois-chicago,2001.0
Pac-10,Washington,washington,2001.0
CAA,Old Dominion,old-dominion,2001.0
Patriot,Holy Cross,holy-cross,2001.0
OVC,Austin Peay,austin-peay,2001.0
OVC,Tennessee Tech,tennessee-tech,2001.0
Big West,Boise State,boise-state,2001.0
Sun Belt (East),Arkansas-Little Rock,arkansas-little-rock,2001.0
MAAC,Manhattan,manhattan,2001.0
Big Sky,Montana State,montana-state,2001.0
MVC,Wichita State,wichita-state,2001.0
Big Sky,Weber State,weber-state,2001.0
Sun Belt (East),Louisiana Tech,louisiana-tech,2001.0
CUSA (National),Houston,houston,2001.0
Southland,McNeese State,mcneese-state,2001.0
Mid-Cont,Missouri-Kansas City,missouri-kansas-city,2001.0
Patriot,Navy,navy,2001.0
MVC,Evansville,evansville,2001.0
OVC,Murray State,murray-state,2001.0
MAAC,Marist,marist,2001.0
Big West,Long Beach State,long-beach-state,2001.0
Sun Belt (West),New Orleans,new-orleans,2001.0
Big Sky,Idaho State,idaho-state,2001.0
MAAC,Canisius,canisius,2001.0
Southern (South),Chattanooga,chattanooga,2001.0
MW Coll,Green Bay,green-bay,2001.0
Big 12,Texas A&M,texas-am,2001.0
Big Sky,Northern Arizona,northern-arizona,2001.0
Ivy,Princeton,princeton,2001.0
Big West,California-Santa Barbara,california-santa-barbara,2001.0
Southern (North),East Tennessee State,east-tennessee-state,2001.0
MAC (East),Akron,akron,2001.0
Ivy,Pennsylvania,pennsylvania,2001.0
A-10,Duquesne,duquesne,2001.0
MWC,Air Force,air-force,2001.0
OVC,Southeast Missouri State,southeast-missouri-state,2001.0
Mid-Cont,Youngstown State,youngstown-state,2001.0
MEAC,Hampton,hampton,2001.0
Big South,Winthrop,winthrop,2001.0
NEC,Monmouth,monmouth,2001.0
WCC,San Francisco,san-francisco,2001.0
AEC,Drexel,drexel,2001.0
A-Sun,Samford,samford,2001.0
Sun Belt (East),Arkansas State,arkansas-state,2001.0
CAA,East Carolina,east-carolina,2001.0
Southern (South),Wofford,wofford,2001.0
MAAC,Rider,rider,2001.0
AEC,Maine,maine,2001.0
Big Sky,Montana,montana,2001.0
A-Sun,Troy,troy,2001.0
MAAC,Niagara,niagara,2001.0
Southern (North),North Carolina-Greensboro,north-carolina-greensboro,2001.0
CAA,James Madison,james-madison,2001.0
MVC,Northern Iowa,northern-iowa,2001.0
Mid-Cont,IUPUI,iupui,2001.0
AEC,Boston University,boston-university,2001.0
Big East (East),Virginia Tech,virginia-tech,2001.0
NEC,Maryland-Baltimore County,maryland-baltimore-county,2001.0
WCC,Portland,portland,2001.0
CAA,William & Mary,william-mary,2001.0
CUSA (National),Tulane,tulane,2001.0
NEC,St. Francis (NY),st-francis-ny,2001.0
A-Sun,Jacksonville,jacksonville,2001.0
NEC,Wagner,wagner,2001.0
A-Sun,Stetson,stetson,2001.0
Mid-Cont,Oakland,oakland,2001.0
A-10,Rhode Island,rhode-island,2001.0
Ind,Texas-Pan American,texas-pan-american,2001.0
MAAC,Fairfield,fairfield,2001.0
Southern (South),Georgia Southern,georgia-southern,2001.0
MW Coll,Loyola (IL),loyola-il,2001.0
WCC,Loyola Marymount,loyola-marymount,2001.0
Ivy,Harvard,harvard,2001.0
Southern (South),Citadel,citadel,2001.0
MAC (West),Western Michigan,western-michigan,2001.0
Sun Belt (West),Denver,denver,2001.0
MEAC,South Carolina State,south-carolina-state,2001.0
OVC,Tennessee State,tennessee-state,2001.0
Big South,Radford,radford,2001.0
Southern (South),Furman,furman,2001.0
A-Sun,Mercer,mercer,2001.0
Southland,Sam Houston State,sam-houston-state,2001.0
Big West,Cal Poly,cal-poly,2001.0
OVC,Morehead State,morehead-state,2001.0
Southern (North),Davidson,davidson,2001.0
NEC,Central Connecticut State,central-connecticut-state,2001.0
Patriot,Lafayette,lafayette,2001.0
SWAC,Alabama State,alabama-state,2001.0
Ivy,Brown,brown,2001.0
MAC (East),Buffalo,buffalo,2001.0
Sun Belt (East),Florida International,florida-international,2001.0
SWAC,Mississippi Valley State,mississippi-valley-state,2001.0
Southland,Texas-San Antonio,texas-san-antonio,2001.0
Ind,Stony Brook,stony-brook,2001.0
A-Sun,Central Florida,central-florida,2001.0
Ivy,Yale,yale,2001.0
Big Sky,Portland State,portland-state,2001.0
Ind,Belmont,belmont,2001.0
Big South,North Carolina-Asheville,north-carolina-asheville,2001.0
OVC,Tennessee-Martin,tennessee-martin,2001.0
Mid-Cont,Oral Roberts,oral-roberts,2001.0
Patriot,Lehigh,lehigh,2001.0
AEC,Vermont,vermont,2001.0
CAA,American,american,2001.0
Ivy,Columbia,columbia,2001.0
AEC,Towson,towson,2001.0
Patriot,Colgate,colgate,2001.0
Southland,Northwestern State,northwestern-state,2001.0
MAC (West),Eastern Michigan,eastern-michigan,2001.0
NEC,Fairleigh Dickinson,fairleigh-dickinson,2001.0
MAC (West),Northern Illinois,northern-illinois,2001.0
AEC,Northeastern,northeastern,2001.0
Sun Belt (East),Middle Tennessee,middle-tennessee,2001.0
SWAC,Alcorn State,alcorn-state,2001.0
MEAC,Coppin State,coppin-state,2001.0
Southern (North),Appalachian State,appalachian-state,2001.0
Big West,Idaho,idaho,2001.0
Patriot,Bucknell,bucknell,2001.0
Southland,Texas-Arlington,texas-arlington,2001.0
MEAC,Norfolk State,norfolk-state,2001.0
Southland,Nicholls State,nicholls-state,2001.0
Mid-Cont,Western Illinois,western-illinois,2001.0
Ind,Centenary (LA),centenary-la,2001.0
Southern (North),Virginia Military Institute,virginia-military-institute,2001.0
Big West,Cal State Fullerton,cal-state-fullerton,2001.0
Big Sky,Sacramento State,sacramento-state,2001.0
Big South,Coastal Carolina,coastal-carolina,2001.0
SWAC,Alabama A&M,alabama-am,2001.0
MAAC,Loyola (MD),loyola-md,2001.0
Southland,Texas State,texas-state,2001.0
