conference,team,tm_link,year
OVC,Eastern Kentucky,eastern-kentucky,2001.0
Big South,Liberty,liberty,2001.0
MAAC,Saint Peter's,saint-peters,2001.0
Southland,Stephen F. Austin,stephen-f-austin,2001.0
MEAC,North Carolina A&T,north-carolina-at,2001.0
Southland,Louisiana-Monroe,louisiana-monroe,2001.0
NEC,Saint Francis (PA),saint-francis-pa,2001.0
Ivy,Dartmouth,dartmouth,2001.0
Ivy,Cornell,cornell,2001.0
NEC,Long Island University,long-island-university,2001.0
A-Sun,Jacksonville State,jacksonville-state,2001.0
AEC,New Hampshire,new-hampshire,2001.0
MEAC,Delaware State,delaware-state,2001.0
Mid-Cont,Chicago State,chicago-state,2001.0
Southern (North),Western Carolina,western-carolina,2001.0
Southland,Southeastern Louisiana,southeastern-louisiana,2001.0
Patriot,Army,army,2001.0
A-Sun,Florida Atlantic,florida-atlantic,2001.0
NEC,Robert Morris,robert-morris,2001.0
Big South,Charleston Southern,charleston-southern,2001.0
SWAC,Southern,southern,2001.0
A-Sun,Campbell,campbell,2001.0
AEC,Hartford,hartford,2001.0
Southland,Lamar,lamar,2001.0
NEC,Quinnipiac,quinnipiac,2001.0
NEC,Mount St. Mary's,mount-st-marys,2001.0
MEAC,Morgan State,morgan-state,2001.0
Sun Belt (West),North Texas,north-texas,2001.0
MEAC,Bethune-Cookman,bethune-cookman,2001.0
Big South,Elon,elon,2001.0
MEAC,Maryland-Eastern Shore,maryland-eastern-shore,2001.0
Big South,High Point,high-point,2001.0
WCC,Saint Mary's (CA),saint-marys-ca,2001.0
SWAC,Jackson State,jackson-state,2001.0
Ind,Albany (NY),albany-ny,2001.0
NEC,Sacred Heart,sacred-heart,2001.0
SWAC,Grambling,grambling,2001.0
MEAC,Howard,howard,2001.0
SWAC,Texas Southern,texas-southern,2001.0
MEAC,Florida A&M,florida-am,2001.0
SWAC,Prairie View,prairie-view,2001.0
SWAC,Arkansas-Pine Bluff,arkansas-pine-bluff,2001.0
ACC,Duke,duke,2002.0
CUSA (American),Cincinnati,cincinnati,2002.0
Big 12,Kansas,kansas,2002.0
ACC,Maryland,maryland,2002.0
SEC (East),Florida,florida,2002.0
Big 12,Oklahoma,oklahoma,2002.0
Pac-10,Oregon,oregon,2002.0
Big Ten,Illinois,illinois,2002.0
Big Ten,Indiana,indiana,2002.0
SEC (East),Kentucky,kentucky,2002.0
CUSA (American),Marquette,marquette,2002.0
Pac-10,Stanford,stanford,2002.0
SEC (West),Alabama,alabama,2002.0
Pac-10,Arizona,arizona,2002.0
Pac-10,Southern California,southern-california,2002.0
SEC (East),South Carolina,south-carolina,2002.0
Big Ten,Ohio State,ohio-state,2002.0
Big East (East),Connecticut,connecticut,2002.0
ACC,North Carolina State,north-carolina-state,2002.0
Big East (West),Notre Dame,notre-dame,2002.0
CUSA (National),Memphis,memphis,2002.0
ACC,Wake Forest,wake-forest,2002.0
Big Ten,Michigan State,michigan-state,2002.0
Big 12,Texas Tech,texas-tech,2002.0
Big East (West),Pittsburgh,pittsburgh,2002.0
SEC (East),Georgia,georgia,2002.0
SEC (West),Mississippi State,mississippi-state,2002.0
Big 12,Oklahoma State,oklahoma-state,2002.0
Big 12,Texas,texas,2002.0
Big 12,Missouri,missouri,2002.0
WCC,Gonzaga,gonzaga,2002.0
A-10 (West),Xavier,xavier,2002.0
MAC (East),Kent State,kent-state,2002.0
CUSA (American),Charlotte,charlotte,2002.0
SEC (West),Mississippi,mississippi,2002.0
ACC,Virginia,virginia,2002.0
Big East (West),Georgetown,georgetown,2002.0
Pac-10,UCLA,ucla,2002.0
Pac-10,California,california,2002.0
Big East (East),Miami (FL),miami-fl,2002.0
Big Ten,Minnesota,minnesota,2002.0
A-10 (West),Dayton,dayton,2002.0
WAC,Tulsa,tulsa,2002.0
Big Ten,Iowa,iowa,2002.0
SEC (West),Arkansas,arkansas,2002.0
CUSA (American),Louisville,louisville,2002.0
Big East (West),Syracuse,syracuse,2002.0
SEC (East),Tennessee,tennessee,2002.0
Horizon,Butler,butler,2002.0
Big East (East),Villanova,villanova,2002.0
MWC,Utah,utah,2002.0
A-10 (East),Temple,temple,2002.0
Sun Belt (East),Western Kentucky,western-kentucky,2002.0
SEC (West),Louisiana State,louisiana-state,2002.0
Big Ten,Wisconsin,wisconsin,2002.0
WAC,Hawaii,hawaii,2002.0
Pac-10,Arizona State,arizona-state,2002.0
MVC,Southern Illinois,southern-illinois,2002.0
Mid-Cont,Valparaiso,valparaiso,2002.0
MWC,Brigham Young,brigham-young,2002.0
Big East (East),Boston College,boston-college,2002.0
MAC (West),Ball State,ball-state,2002.0
MWC,Wyoming,wyoming,2002.0
WCC,Pepperdine,pepperdine,2002.0
ACC,Georgia Tech,georgia-tech,2002.0
MVC,Creighton,creighton,2002.0
Big Ten,Purdue,purdue,2002.0
Ivy,Pennsylvania,pennsylvania,2002.0
CUSA (National),South Florida,south-florida,2002.0
Big East (East),St. John's (NY),st-johns-ny,2002.0
MWC,Nevada-Las Vegas,nevada-las-vegas,2002.0
MWC,San Diego State,san-diego-state,2002.0
MAC (East),Bowling Green State,bowling-green-state,2002.0
WAC,Louisiana Tech,louisiana-tech,2002.0
A-10 (East),Saint Joseph's,saint-josephs,2002.0
SEC (West),Auburn,auburn,2002.0
CUSA (American),Saint Louis,saint-louis,2002.0
WAC,Fresno State,fresno-state,2002.0
SEC (East),Vanderbilt,vanderbilt,2002.0
MWC,New Mexico,new-mexico,2002.0
Big 12,Baylor,baylor,2002.0
Big East (East),Providence,providence,2002.0
Big 12,Colorado,colorado,2002.0
CAA,North Carolina-Wilmington,north-carolina-wilmington,2002.0
A-10 (East),St. Bonaventure,st-bonaventure,2002.0
Big East (West),Seton Hall,seton-hall,2002.0
Big West,Utah State,utah-state,2002.0
Big Ten,Northwestern,northwestern,2002.0
CUSA (National),Alabama-Birmingham,alabama-birmingham,2002.0
Big West,California-Santa Barbara,california-santa-barbara,2002.0
A-10 (West),Richmond,richmond,2002.0
Southern (South),College of Charleston,college-of-charleston,2002.0
Big East (West),Rutgers,rutgers,2002.0
OVC,Tennessee Tech,tennessee-tech,2002.0
WCC,San Diego,san-diego,2002.0
CUSA (National),Houston,houston,2002.0
CUSA (National),Texas Christian,texas-christian,2002.0
Big 12,Nebraska,nebraska,2002.0
Pac-10,Washington,washington,2002.0
ACC,Florida State,florida-state,2002.0
Horizon,Milwaukee,milwaukee,2002.0
WAC,Southern Methodist,southern-methodist,2002.0
Pac-10,Oregon State,oregon-state,2002.0
Big 12,Iowa State,iowa-state,2002.0
ACC,North Carolina,north-carolina,2002.0
Big 12,Kansas State,kansas-state,2002.0
Sun Belt (West),New Mexico State,new-mexico-state,2002.0
ACC,Clemson,clemson,2002.0
Big Ten,Michigan,michigan,2002.0
Big West,California-Irvine,california-irvine,2002.0
CUSA (National),Tulane,tulane,2002.0
Southern (North),East Tennessee State,east-tennessee-state,2002.0
MWC,Colorado State,colorado-state,2002.0
Mid-Cont,Oral Roberts,oral-roberts,2002.0
MAC (East),Ohio,ohio,2002.0
Big West,Pacific,pacific,2002.0
A-10 (East),Massachusetts,massachusetts,2002.0
WAC,Nevada,nevada,2002.0
Sun Belt (East),Arkansas-Little Rock,arkansas-little-rock,2002.0
MAAC,Manhattan,manhattan,2002.0
MVC,Missouri State,missouri-state,2002.0
Big East (East),Virginia Tech,virginia-tech,2002.0
Horizon,Detroit Mercy,detroit-mercy,2002.0
Sun Belt (West),Louisiana-Lafayette,louisiana-lafayette,2002.0
Sun Belt (East),Arkansas State,arkansas-state,2002.0
MAAC,Marist,marist,2002.0
Horizon,Illinois-Chicago,illinois-chicago,2002.0
Southern (North),North Carolina-Greensboro,north-carolina-greensboro,2002.0
Southern (South),Chattanooga,chattanooga,2002.0
MAC (East),Miami (OH),miami-oh,2002.0
CAA,Virginia Commonwealth,virginia-commonwealth,2002.0
Horizon,Wright State,wright-state,2002.0
Big Sky,Montana State,montana-state,2002.0
CAA,George Mason,george-mason,2002.0
MVC,Wichita State,wichita-state,2002.0
A-10 (West),La Salle,la-salle,2002.0
Southern (South),Georgia Southern,georgia-southern,2002.0
MVC,Illinois State,illinois-state,2002.0
MAC (West),Western Michigan,western-michigan,2002.0
OVC,Murray State,murray-state,2002.0
Southern (North),Davidson,davidson,2002.0
CUSA (American),DePaul,depaul,2002.0
Mid-Cont,Oakland,oakland,2002.0
Horizon,Loyola (IL),loyola-il,2002.0
Big Sky,Weber State,weber-state,2002.0
Ivy,Princeton,princeton,2002.0
WCC,San Francisco,san-francisco,2002.0
Ivy,Yale,yale,2002.0
MEAC,Hampton,hampton,2002.0
Southern (South),Citadel,citadel,2002.0
Southland,McNeese State,mcneese-state,2002.0
A-Sun,Georgia State,georgia-state,2002.0
CUSA (American),East Carolina,east-carolina,2002.0
Mid-Cont,Missouri-Kansas City,missouri-kansas-city,2002.0
CUSA (National),Southern Mississippi,southern-mississippi,2002.0
Sun Belt (West),North Texas,north-texas,2002.0
MAC (West),Toledo,toledo,2002.0
MWC,Air Force,air-force,2002.0
NEC,Central Connecticut State,central-connecticut-state,2002.0
A-Sun,Central Florida,central-florida,2002.0
MVC,Northern Iowa,northern-iowa,2002.0
Big West,Cal Poly,cal-poly,2002.0
Ind,Texas-Pan American,texas-pan-american,2002.0
Big East (West),West Virginia,west-virginia,2002.0
MAC (East),Marshall,marshall,2002.0
MAAC,Rider,rider,2002.0
CAA,Delaware,delaware,2002.0
CAA,Old Dominion,old-dominion,2002.0
Southern (South),Furman,furman,2002.0
Patriot,Holy Cross,holy-cross,2002.0
WAC,Boise State,boise-state,2002.0
Big Ten,Penn State,penn-state,2002.0
WAC,Texas-El Paso,texas-el-paso,2002.0
Mid-Cont,IUPUI,iupui,2002.0
Big Sky,Eastern Washington,eastern-washington,2002.0
MVC,Drake,drake,2002.0
A-10 (West),George Washington,george-washington,2002.0
Horizon,Cleveland State,cleveland-state,2002.0
Big West,Long Beach State,long-beach-state,2002.0
MAAC,Siena,siena,2002.0
MAC (East),Buffalo,buffalo,2002.0
CAA,Drexel,drexel,2002.0
Big West,Cal State Northridge,cal-state-northridge,2002.0
WAC,Rice,rice,2002.0
Big 12,Texas A&M,texas-am,2002.0
Pac-10,Washington State,washington-state,2002.0
A-Sun,Troy,troy,2002.0
CAA,James Madison,james-madison,2002.0
OVC,Morehead State,morehead-state,2002.0
MAC (West),Northern Illinois,northern-illinois,2002.0
Southland,Texas-San Antonio,texas-san-antonio,2002.0
A-Sun,Jacksonville,jacksonville,2002.0
Sun Belt (East),Middle Tennessee,middle-tennessee,2002.0
Ivy,Brown,brown,2002.0
MVC,Bradley,bradley,2002.0
MAC (West),Central Michigan,central-michigan,2002.0
MAAC,Niagara,niagara,2002.0
Big South,Radford,radford,2002.0
AEC,Vermont,vermont,2002.0
A-Sun,Samford,samford,2002.0
A-Sun,Florida Atlantic,florida-atlantic,2002.0
Sun Belt (West),New Orleans,new-orleans,2002.0
OVC,Austin Peay,austin-peay,2002.0
Big Sky,Montana,montana,2002.0
A-10 (East),Fordham,fordham,2002.0
Horizon,Green Bay,green-bay,2002.0
NEC,Wagner,wagner,2002.0
MVC,Indiana State,indiana-state,2002.0
WCC,Santa Clara,santa-clara,2002.0
WCC,Saint Mary's (CA),saint-marys-ca,2002.0
AEC,Boston University,boston-university,2002.0
Mid-Cont,Southern Utah,southern-utah,2002.0
A-10 (West),Duquesne,duquesne,2002.0
MAC (East),Akron,akron,2002.0
Southland,Sam Houston State,sam-houston-state,2002.0
Patriot,American,american,2002.0
Sun Belt (East),Florida International,florida-international,2002.0
Southland,Louisiana-Monroe,louisiana-monroe,2002.0
Big Sky,Northern Arizona,northern-arizona,2002.0
A-10 (East),Rhode Island,rhode-island,2002.0
MAAC,Iona,iona,2002.0
MAAC,Fairfield,fairfield,2002.0
WAC,San Jose State,san-jose-state,2002.0
Patriot,Colgate,colgate,2002.0
CAA,Hofstra,hofstra,2002.0
Ind,Centenary (LA),centenary-la,2002.0
CAA,William & Mary,william-mary,2002.0
Ivy,Columbia,columbia,2002.0
Patriot,Lafayette,lafayette,2002.0
Big South,Winthrop,winthrop,2002.0
Ivy,Harvard,harvard,2002.0
NEC,Monmouth,monmouth,2002.0
Southern (South),Wofford,wofford,2002.0
A-Sun,Belmont,belmont,2002.0
Big West,California-Riverside,california-riverside,2002.0
MEAC,Howard,howard,2002.0
WCC,Portland,portland,2002.0
Sun Belt (West),South Alabama,south-alabama,2002.0
Mid-Cont,Western Illinois,western-illinois,2002.0
WCC,Loyola Marymount,loyola-marymount,2002.0
Southern (North),Appalachian State,appalachian-state,2002.0
OVC,Tennessee-Martin,tennessee-martin,2002.0
Southern (North),Western Carolina,western-carolina,2002.0
Big Sky,Portland State,portland-state,2002.0
OVC,Eastern Illinois,eastern-illinois,2002.0
NEC,Maryland-Baltimore County,maryland-baltimore-county,2002.0
MAAC,Canisius,canisius,2002.0
Sun Belt (West),Denver,denver,2002.0
OVC,Tennessee State,tennessee-state,2002.0
NEC,St. Francis (NY),st-francis-ny,2002.0
MVC,Evansville,evansville,2002.0
Patriot,Navy,navy,2002.0
Southland,Texas State,texas-state,2002.0
Southern (North),Virginia Military Institute,virginia-military-institute,2002.0
A-Sun,Jacksonville State,jacksonville-state,2002.0
Southland,Lamar,lamar,2002.0
MEAC,Delaware State,delaware-state,2002.0
Southland,Northwestern State,northwestern-state,2002.0
NEC,Quinnipiac,quinnipiac,2002.0
Big West,Idaho,idaho,2002.0
Big Sky,Idaho State,idaho-state,2002.0
Patriot,Bucknell,bucknell,2002.0
Southland,Stephen F. Austin,stephen-f-austin,2002.0
Southland,Texas-Arlington,texas-arlington,2002.0
OVC,Southeast Missouri State,southeast-missouri-state,2002.0
Big South,North Carolina-Asheville,north-carolina-asheville,2002.0
MEAC,South Carolina State,south-carolina-state,2002.0
SWAC,Alcorn State,alcorn-state,2002.0
SWAC,Alabama A&M,alabama-am,2002.0
Big West,Cal State Fullerton,cal-state-fullerton,2002.0
AEC,Northeastern,northeastern,2002.0
A-Sun,Stetson,stetson,2002.0
Big Sky,Sacramento State,sacramento-state,2002.0
AEC,Hartford,hartford,2002.0
Horizon,Youngstown State,youngstown-state,2002.0
AEC,Maine,maine,2002.0
MEAC,North Carolina A&T,north-carolina-at,2002.0
Ivy,Cornell,cornell,2002.0
Patriot,Army,army,2002.0
SWAC,Alabama State,alabama-state,2002.0
CAA,Towson,towson,2002.0
Big South,Elon,elon,2002.0
NEC,Robert Morris,robert-morris,2002.0
AEC,Binghamton,binghamton,2002.0
Ivy,Dartmouth,dartmouth,2002.0
Big South,High Point,high-point,2002.0
OVC,Eastern Kentucky,eastern-kentucky,2002.0
MEAC,Norfolk State,norfolk-state,2002.0
Patriot,Lehigh,lehigh,2002.0
Big South,Charleston Southern,charleston-southern,2002.0
MEAC,Bethune-Cookman,bethune-cookman,2002.0
A-Sun,Mercer,mercer,2002.0
MEAC,Florida A&M,florida-am,2002.0
Southland,Southeastern Louisiana,southeastern-louisiana,2002.0
AEC,New Hampshire,new-hampshire,2002.0
NEC,Saint Francis (PA),saint-francis-pa,2002.0
MAC (West),Eastern Michigan,eastern-michigan,2002.0
NEC,Sacred Heart,sacred-heart,2002.0
SWAC,Mississippi Valley State,mississippi-valley-state,2002.0
A-Sun,Campbell,campbell,2002.0
MEAC,Maryland-Eastern Shore,maryland-eastern-shore,2002.0
SWAC,Jackson State,jackson-state,2002.0
Big South,Coastal Carolina,coastal-carolina,2002.0
MAAC,Saint Peter's,saint-peters,2002.0
AEC,Albany (NY),albany-ny,2002.0
