class,ht,player,pos,tm_link,player_link,year
SO,81.0,Adam Ballinger,F,michigan-state,adam-ballinger-1,2001
SR,75.0,Charlie Bell,G,michigan-state,charlie-bell-1,2001
SR,81.0,Mike Chappell,G-F,michigan-state,mike-chappell-1,2001
SR,80.0,Andre Hutson,F,michigan-state,andre-hutson-1,2001
SO,70.0,Mat Ishbia,G,michigan-state,mat-ishbia-1,2001
FR,81.0,Zach Randolph,C,michigan-state,zach-randolph-1,2001
SO,78.0,Jason Richardson,G-F,michigan-state,jason-richardson-1,2001
SR,71.0,Brandon Smith,G,michigan-state,brandon-smith-3,2001
FR,75.0,Marcus Taylor,G,michigan-state,marcus-taylor-1,2001
SR,79.0,David Thomas,G-F,michigan-state,david-thomas-1,2001
FR,81.0,Adam Wolfe,F,michigan-state,adam-wolfe-1,2001
JR,72.0,Earl Badu,G,maryland,earl-badu-1,2001
JR,80.0,Lonny Baxter,C,maryland,lonny-baxter-1,2001
SO,75.0,Steve Blake,G,maryland,steve-blake-1,2001
SR,80.0,Laron Cephas,F,maryland,laron-cephas-1,2001
JR,75.0,Juan Dixon,G,maryland,juan-dixon-1,2001
SO,82.0,Tahj Holden,C,maryland,tahj-holden-1,2001
SR,84.0,Mike Mardesich,C,maryland,mike-mardesich-1,2001
SO,75.0,Calvin McCall,G,maryland,calvin-mccall-1,2001
JR,80.0,Dan Miller,G,maryland,dan-miller-1,2001
SR,81.0,Terence Morris,F,maryland,terence-morris-1,2001
JR,78.0,Byron Mouton,G,maryland,byron-mouton-1,2001
SO,75.0,Drew Nicholas,G,maryland,drew-nicholas-1,2001
FR,82.0,Chris Wilcox,C,maryland,chris-wilcox-1,2001
JR,83.0,Robert Archibald,C,illinois,robert-archibald-1,2001
JR,75.0,Cory Bradford,G,illinois,cory-bradford-1,2001
SO,81.0,Brian Cook,F,illinois,brian-cook-1,2001
SR,74.0,Joe Cross,G,illinois,joe-cross-1,2001
SR,81.0,Marcus Griffin,C,illinois,marcus-griffin-1,2001
SO,75.0,Sean Harrington,G,illinois,sean-harrington-1,2001
FR,73.0,Jerrance Howard,G,illinois,jerrance-howard-1,2001
JR,80.0,Lucas Johnson,F,illinois,lucas-johnson-1,2001
JR,81.0,Damir Krupalija,F,illinois,damir-krupalija-1,2001
SR,71.0,Nate Mast,G,illinois,nate-mast-1,2001
SR,76.0,Sergio McClain,F,illinois,sergio-mcclain-1,2001
FR,77.0,Brett Melton,G,illinois,brett-melton-1,2001
JR,79.0,Clayton Thomas,F,illinois,clayton-thomas-1,2001
SO,75.0,Frank Williams,G,illinois,frank-williams-1,2001
SO,82.0,Matt Bonner,F,florida,matt-bonner-1,2001
FR,81.0,Bonell Colas,C,florida,bonell-colas-1,2001
SO,,Adriel Davis,F,florida,adriel-davis-1,2001
JR,70.0,Teddy Dupay,G,florida,teddy-dupay-1,2001
FR,76.0,Orien Greene,G,florida,orien-greene-1,2001
JR,76.0,Ladarius Halton,G,florida,ladarius-halton-1,2001
SO,75.0,Justin Hamilton,G,florida,justin-hamilton-1,2001
JR,80.0,Udonis Haslem,C,florida,udonis-haslem-1,2001
JR,,David Kliewer,G,florida,david-kliewer-1,2001
SO,76.0,Brett Nelson,G,florida,brett-nelson-1,2001
SR,76.0,Major Parker,F,florida,major-parker-1,2001
SR,80.0,Brent Wright,F,florida,brent-wright-1,2001
JR,77.0,Craig Dawson,G,wake-forest,craig-dawson-1,2001
FR,75.0,A.W. Hamilton,G,wake-forest,aw-hamilton-1,2001
JR,73.0,Broderick Hicks,G,wake-forest,broderick-hicks-1,2001
SO,79.0,Josh Howard,F,wake-forest,josh-howard-1,2001
FR,75.0,Matt Lineberger,G,wake-forest,matt-lineberger-1,2001
JR,77.0,Ervin Murray,G,wake-forest,ervin-murray-1,2001
SR,73.0,Robert O'Kelley,G,wake-forest,robert-okelley-1,2001
JR,80.0,Antwan Scott,F,wake-forest,antwan-scott-1,2001
SR,81.0,Josh Shoemaker,C,wake-forest,josh-shoemaker-1,2001
JR,81.0,Darius Songaila,F,wake-forest,darius-songaila-1,2001
SR,81.0,Rafael Vidaurreta,C,wake-forest,rafael-vidaurreta-1,2001
FR,75.0,Alan Williams,G,wake-forest,alan-williams-1,2001
JR,74.0,J.P. Blevins,G,kentucky,jp-blevins-1,2001
SO,77.0,Keith Bogans,G,kentucky,keith-bogans-1,2001
FR,80.0,Erik Daniels,F,kentucky,erik-daniels-1,2001
SO,81.0,Marquis Estill,G,kentucky,marquis-estill-1,2001
FR,75.0,Gerald Fitch,G,kentucky,gerald-fitch-1,2001
FR,73.0,Cliff Hawkins,G,kentucky,cliff-hawkins-1,2001
FR,76.0,Matt Heissenbuttel,G,kentucky,matt-heissenbuttel-1,2001
FR,80.0,Jason Parker,G,kentucky,jason-parker-1,2001
JR,81.0,Tayshaun Prince,F,kentucky,tayshaun-prince-1,2001
FR,78.0,Cory Sears,G,kentucky,cory-sears-1,2001
