class,ht,player,pos,tm_link,player_link,year
FR,83.0,D'Or Fischer,C,northwestern-state,dor-fischer-1,2001
SR,71.0,Josh Hancock,G,northwestern-state,josh-hancock-1,2001
JR,78.0,Chris Lynch,F,northwestern-state,chris-lynch-1,2001
JR,77.0,Jerrold McRae,F,northwestern-state,jerrold-mcrae-1,2001
SO,70.0,B.J. Netterville,G,northwestern-state,bj-netterville-1,2001
FR,,Jeremy Pace,G,northwestern-state,jeremy-pace-1,2001
JR,78.0,Melvin Roberts,C,northwestern-state,melvin-roberts-1,2001
FR,,Kyle Thomas,G,northwestern-state,kyle-thomas-2,2001
SR,79.0,Chris Thompson,F,northwestern-state,chris-thompson-1,2001
JR,75.0,Kory Wilson,G,northwestern-state,kory-wilson-1,2001
JR,,Mosi Barnes,G,eastern-michigan,mosi-barnes-1,2001
FR,75.0,Ricky Cottrill,G,eastern-michigan,ricky-cottrill-1,2001
JR,,Dante Darling,F-G,eastern-michigan,dante-darling-1,2001
SO,,C.J. Grantham,G,eastern-michigan,cj-grantham-1,2001
JR,,Shamar Herron,C,eastern-michigan,shamar-herron-1,2001
SO,75.0,Melvin Hicks,G,eastern-michigan,melvin-hicks-1,2001
FR,,Ryan Hopkins,G,eastern-michigan,ryan-hopkins-1,2001
JR,,Mats Nordin,C,eastern-michigan,mats-nordin-1,2001
SO,81.0,Ryan Prillman,F,eastern-michigan,ryan-prillman-1,2001
SR,80.0,Tyson Radney,F,eastern-michigan,tyson-radney-1,2001
SR,76.0,Ben Romano,G,eastern-michigan,ben-romano-1,2001
SR,,Rod Wells,G,eastern-michigan,rod-wells-1,2001
SO,76.0,Lionel Bomayako,F,fairleigh-dickinson,lionel-bomayako-1,2001
SR,80.0,Chris Ekwe,C,fairleigh-dickinson,chris-ekwe-1,2001
JR,82.0,James Felton,C,fairleigh-dickinson,james-felton-1,2001
FR,,Brad Green,G,fairleigh-dickinson,brad-green-1,2001
JR,,Joern Grundmann,C,fairleigh-dickinson,joern-grundmann-1,2001
JR,80.0,Matt Hammond,F,fairleigh-dickinson,matt-hammond-1,2001
SR,78.0,Keith Martin,F,fairleigh-dickinson,keith-martin-1,2001
FR,82.0,Greg McBain,F,fairleigh-dickinson,greg-mcbain-1,2001
SR,71.0,Jarvis Mitchell,G,fairleigh-dickinson,jarvis-mitchell-1,2001
FR,74.0,Mensah Peterson,G,fairleigh-dickinson,mensah-peterson-1,2001
JR,75.0,Lamarque Ward,G,fairleigh-dickinson,lamarque-ward-1,2001
FR,69.0,Marcus Whitaker,G,fairleigh-dickinson,marcus-whitaker-1,2001
SR,78.0,Ike Williams,F,fairleigh-dickinson,ike-williams-1,2001
SR,72.0,Mike Brown,G,northern-illinois,mike-brown-3,2001
SR,81.0,Steve Determan,F,northern-illinois,steve-determan-1,2001
SO,75.0,Sean Ezell,G,northern-illinois,sean-ezell-1,2001
SO,70.0,Marcus Jankus,G,northern-illinois,marcus-jankus-1,2001
SO,81.0,Mike Morrison,C,northern-illinois,mike-morrison-2,2001
JR,82.0,Matt Nelson,C,northern-illinois,matt-nelson-4,2001
JR,78.0,Leon Rodgers,F,northern-illinois,leon-rodgers-1,2001
SO,81.0,Jerry Sanders,F,northern-illinois,jerry-sanders-1,2001
FR,76.0,Al Sewasciuk,G,northern-illinois,al-sewasciuk-1,2001
FR,78.0,Marcus Smallwood,F,northern-illinois,marcus-smallwood-1,2001
FR,68.0,Rubens Amedee,G,northeastern,rubens-amedee-1,2001
SR,82.0,George Aygar,C,northeastern,george-aygar-1,2001
JR,71.0,Jean Bain,G,northeastern,jean-bain-1,2001
SR,76.0,Dwayne Barnes,F,northeastern,dwayne-barnes-1,2001
SR,74.0,Marcus Blossom,G,northeastern,marcus-blossom-1,2001
JR,77.0,Charles Cranford,G,northeastern,charles-cranford-1,2001
FR,77.0,Jean Francois,F,northeastern,jean-francois-2,2001
SR,79.0,Tyrone Hammick,F,northeastern,tyrone-hammick-1,2001
FR,70.0,Cleophus Morris,G,northeastern,cleophus-morris-1,2001
JR,78.0,Tim West,F,northeastern,tim-west-1,2001
FR,75.0,Tommy Gunn,G,middle-tennessee,tommy-gunn-1,2001
SO,,Jani Hiltunen,F,middle-tennessee,jani-hiltunen-1,2001
FR,78.0,Steven Jackson,F,middle-tennessee,steven-jackson-1,2001
SO,77.0,Luigi Lopes,F,middle-tennessee,luigi-lopes-1,2001
SR,,Freddie Martinez,F,middle-tennessee,freddie-martinez-1,2001
SR,,Marcus Mason,G,middle-tennessee,marcus-mason-2,2001
SO,79.0,Bryant Mitchell,F,middle-tennessee,bryant-mitchell-1,2001
SR,82.0,Lee Nosse,C,middle-tennessee,lee-nosse-1,2001
SR,,Fernando Ortiz,F,middle-tennessee,fernando-ortiz-1,2001
JR,80.0,Iiro Tenngren,F,middle-tennessee,iiro-tenngren-1,2001
SR,,Dale Thomas,F,middle-tennessee,dale-thomas-1,2001
JR,80.0,Demario Watson,F,middle-tennessee,demario-watson-1,2001
SO,79.0,Fred White,G,middle-tennessee,fred-white-1,2001
SR,,Kevin White,G,middle-tennessee,kevin-white-2,2001
SR,71.0,Jonathan Whitworth,G,middle-tennessee,jonathan-whitworth-1,2001
FR,71.0,Jermale Wilkerson,G,middle-tennessee,jermale-wilkerson-1,2001
JR,69.0,D'Marius Wilkes,G,middle-tennessee,dmarius-wilkes-1,2001
SO,76.0,Jason Cable,G,alcorn-state,jason-cable-1,2001
SO,80.0,Dion Callans,F,alcorn-state,dion-callans-1,2001
SO,72.0,Jeff Cammon,G,alcorn-state,jeff-cammon-1,2001
SR,80.0,Marcus Fleming,F,alcorn-state,marcus-fleming-1,2001
JR,80.0,Walter Harper,C,alcorn-state,walter-harper-1,2001
SO,77.0,Tori Harris,F,alcorn-state,tori-harris-1,2001
SO,78.0,Brian Jackson,F,alcorn-state,brian-jackson-1,2001
JR,74.0,Travis Norris,G,alcorn-state,travis-norris-1,2001
SR,73.0,Devin Pack,G,alcorn-state,devin-pack-1,2001
JR,80.0,Larry Robinson,F,alcorn-state,larry-robinson-2,2001
JR,84.0,Andrew Ross,C,alcorn-state,andrew-ross-1,2001
JR,74.0,Justin Shelwood,G,alcorn-state,justin-shelwood-1,2001
SO,70.0,J.T. West,G,alcorn-state,jt-west-1,2001
SR,79.0,Joe Brown,G,coppin-state,joe-brown-1,2001
JR,73.0,Mark Davis-Mccrary,G,coppin-state,mark-davis-mccrary-1,2001
SO,82.0,Demond Huff,C,coppin-state,demond-huff-1,2001
SR,85.0,Jason Iacona,C,coppin-state,jason-iacona-1,2001
SO,74.0,Enrique Nieves,G,coppin-state,enrique-nieves-1,2001
FR,72.0,Alexis Perez,G,coppin-state,alexis-perez-1,2001
JR,76.0,Michael Poster,F,coppin-state,michael-poster-1,2001
FR,79.0,LeMar Ruffin,,coppin-state,lemar-ruffin-1,2001
JR,74.0,Rasheem Sims,G,coppin-state,rasheem-sims-1,2001
JR,80.0,Donnell Thomas,C,coppin-state,donnell-thomas-1,2001
JR,76.0,Larry Tucker,F,coppin-state,larry-tucker-1,2001
JR,83.0,Terek Wright,C,coppin-state,terek-wright-1,2001
JR,74.0,Shawn Alexander,G,appalachian-state,shawn-alexander-1,2001
FR,83.0,Brian Boxler,C,appalachian-state,brian-boxler-1,2001
SO,72.0,Noah Brown,G,appalachian-state,noah-brown-1,2001
JR,72.0,Jonathan Butler,G,appalachian-state,jonathan-butler-1,2001
SR,80.0,Corey Cooper,C,appalachian-state,corey-cooper-1,2001
JR,78.0,Buddy Davis,F,appalachian-state,buddy-davis-1,2001
JR,74.0,Charles Dearmon,G,appalachian-state,charles-dearmon-1,2001
FR,,Josh Hare,F,appalachian-state,josh-hare-1,2001
SO,76.0,Nick Huge,G,appalachian-state,nick-huge-1,2001
FR,74.0,Matt Jones,G,appalachian-state,matt-jones-1,2001
FR,74.0,Hal Kivette,G,appalachian-state,hal-kivette-1,2001
SO,79.0,Mike Patten,F,appalachian-state,mike-patten-1,2001
JR,76.0,Donald Payne,F,appalachian-state,donald-payne-1,2001
SO,80.0,Josh Shehan,C,appalachian-state,josh-shehan-1,2001
JR,79.0,Eric Collier,F,idaho,eric-collier-1,2001
FR,74.0,Roland Coppage,G,idaho,roland-coppage-1,2001
SR,73.0,Ed Dean,G,idaho,ed-dean-1,2001
JR,73.0,Bethuel Fletcher,G,idaho,bethuel-fletcher-1,2001
JR,78.0,Matt Gerschefske,F,idaho,matt-gerschefske-1,2001
JR,78.0,Rodney Hilaire,F,idaho,rodney-hilaire-1,2001
JR,78.0,Marquis Holmes,F,idaho,marquis-holmes-1,2001
JR,78.0,Jerald Jenkins,F,idaho,jerald-jenkins-1,2001
SO,72.0,Justin Logan,G,idaho,justin-logan-1,2001
SR,72.0,Adam Miller,G,idaho,adam-miller-1,2001
SO,80.0,Chris Monroe,C,idaho,chris-monroe-2,2001
JR,76.0,Nathaniel Watson,G,idaho,nathaniel-watson-1,2001
FR,79.0,Bret Wise,F,idaho,bret-wise-1,2001
JR,73.0,Bryan Bailey,G,bucknell,bryan-bailey-1,2001
FR,81.0,Jeremiah Bennett,F,bucknell,jeremiah-bennett-1,2001
SO,74.0,Dan Blankenship,G,bucknell,dan-blankenship-1,2001
SO,77.0,Jordan Hardenbergh,F,bucknell,jordan-hardenbergh-1,2001
SO,78.0,Boakai Lalugba,F,bucknell,boakai-lalugba-1,2001
FR,78.0,Jack Namvou,G,bucknell,jack-namvou-1,2001
FR,77.0,Matt Quinn,G,bucknell,matt-quinn-1,2001
SR,76.0,Jake Ramage,G,bucknell,jake-ramage-1,2001
JR,77.0,Peter Santos,F,bucknell,peter-santos-1,2001
FR,83.0,Davorin Skornik,C,bucknell,davorin-skornik-1,2001
FR,78.0,Ben Slater,F,bucknell,ben-slater-1,2001
FR,75.0,Roland Webber,G,bucknell,roland-webber-1,2001
SO,80.0,Brian Werner,F,bucknell,brian-werner-1,2001
SR,72.0,Jason Arbuckle,G,texas-arlington,jason-arbuckle-1,2001
JR,70.0,Steven Barber,G,texas-arlington,steven-barber-1,2001
FR,77.0,Donny Beacham,F,texas-arlington,donny-beacham-1,2001
SO,79.0,Mack Callier,F,texas-arlington,mack-callier-1,2001
JR,73.0,Troy Hagen,G,texas-arlington,troy-hagen-1,2001
SR,74.0,Jabari Johnson,G,texas-arlington,jabari-johnson-1,2001
FR,81.0,Roy Johnson,F,texas-arlington,roy-johnson-1,2001
FR,80.0,Achille Ngounou,F,texas-arlington,achille-ngounou-1,2001
FR,80.0,Milos Nikolic,F,texas-arlington,milos-nikolic-1,2001
SO,71.0,Hector Noyola,G,texas-arlington,hector-noyola-1,2001
FR,79.0,Derrick Obasohan,F,texas-arlington,derrick-obasohan-1,2001
FR,69.0,Mike Pierson,G,texas-arlington,mike-pierson-1,2001
SR,81.0,Clyde Abney,C,norfolk-state,clyde-abney-1,2001
SO,80.0,Michael Boyd,F,norfolk-state,michael-boyd-1,2001
FR,73.0,Nicholas Byrd,G,norfolk-state,nicholas-byrd-1,2001
SR,74.0,Dion Dove,G,norfolk-state,dion-dove-1,2001
SO,78.0,Cordell Maxwell,G,norfolk-state,cordell-maxwell-1,2001
JR,81.0,Jamal Mills,F,norfolk-state,jamal-mills-1,2001
SR,80.0,Darrell Neal,F,norfolk-state,darrell-neal-1,2001
SO,80.0,Gregory Quick,F,norfolk-state,gregory-quick-1,2001
SR,78.0,Cornelius Roberts,F,norfolk-state,cornelius-roberts-1,2001
FR,81.0,Edward Seward,C,norfolk-state,edward-seward-1,2001
FR,77.0,Derrick Smith,G,norfolk-state,derrick-smith-1,2001
SO,76.0,Mohanda Whitfield,G,norfolk-state,mohanda-whitfield-1,2001
JR,80.0,Keedar Whittle,F,norfolk-state,keedar-whittle-1,2001
JR,72.0,Terrence Winston,G,norfolk-state,terrence-winston-1,2001
SR,,Chris Bacon,F,nicholls-state,chris-bacon-2,2001
JR,73.0,Shane Beaudean,G,nicholls-state,shane-beaudean-1,2001
FR,,Albert Cager,G,nicholls-state,albert-cager-1,2001
SR,77.0,Nehemiah Daniels,F,nicholls-state,nehemiah-daniels-1,2001
SR,77.0,Marlon Green,G,nicholls-state,marlon-green-1,2001
SR,77.0,Arthur Haralson,F,nicholls-state,arthur-haralson-1,2001
SO,70.0,Sean Hughley,G,nicholls-state,sean-hughley-1,2001
SO,80.0,Clifton Jones,C,nicholls-state,clifton-jones-1,2001
SO,74.0,Beau O'Quinn,G,nicholls-state,beau-oquinn-1,2001
SO,76.0,Earnest Porter,G,nicholls-state,earnest-porter-1,2001
JR,76.0,Zach Ray,F,nicholls-state,zach-ray-1,2001
FR,,Randy Walton,F,nicholls-state,randy-walton-1,2001
JR,78.0,Reggie Williams,F,nicholls-state,reggie-williams-2,2001
JR,74.0,Cory Fosdyck,G,western-illinois,cory-fosdyck-1,2001
SR,72.0,Bill Heisler,G,western-illinois,bill-heisler-1,2001
JR,77.0,Johnny Johnson,F,western-illinois,johnny-johnson-1,2001
SO,83.0,Kristjan Makke,C,western-illinois,kristjan-makke-1,2001
JR,76.0,Quentin Mitchell,G-F,western-illinois,quentin-mitchell-1,2001
FR,81.0,Karl Peterson,F,western-illinois,karl-peterson-1,2001
JR,81.0,Jamel Richardson,F,western-illinois,jamel-richardson-1,2001
SO,72.0,Matt Robins,G,western-illinois,matt-robins-1,2001
FR,80.0,Ryan Shriver,F,western-illinois,ryan-shriver-1,2001
FR,75.0,J.D. Summers,F,western-illinois,jd-summers-1,2001
SR,76.0,Brian Turner,F,western-illinois,brian-turner-2,2001
JR,74.0,Brian Williams,G,western-illinois,brian-williams-5,2001
JR,72.0,Kevin Atamah,G,centenary-la,kevin-atamah-1,2001
FR,,Eldarkus Chism,F,centenary-la,eldarkus-chism-1,2001
FR,,Reese Duty,G,centenary-la,reese-duty-1,2001
FR,76.0,Mike Gale,G,centenary-la,mike-gale-1,2001
JR,72.0,Warren Harris,G,centenary-la,warren-harris-1,2001
SR,,Miroslav Ilic,G,centenary-la,miroslav-ilic-1,2001
SR,76.0,Ronnie McCollum,G,centenary-la,ronnie-mccollum-1,2001
SR,,Olufemi Odukoya,F,centenary-la,olufemi-odukoya-1,2001
JR,81.0,Brien Rabenhorst,F,centenary-la,brien-rabenhorst-1,2001
SO,,Idrion Reed,G,centenary-la,idrion-reed-1,2001
,,Irving Richardson,,centenary-la,irving-richardson-1,2001
SO,82.0,Kresimir Tomorad,F,centenary-la,kresimir-tomorad-1,2001
SO,,Shohn Williams,G,centenary-la,shohn-williams-2,2001
SR,74.0,Richard Bruce,G,virginia-military-institute,richard-bruce-1,2001
JR,81.0,Tim Cole,C,virginia-military-institute,tim-cole-1,2001
SO,80.0,Mike Gilbert,F,virginia-military-institute,mike-gilbert-1,2001
JR,74.0,Mark Grigsby,G,virginia-military-institute,mark-grigsby-1,2001
SO,74.0,Jeremy Harper,G,virginia-military-institute,jeremy-harper-2,2001
JR,76.0,Chad Kenna,F,virginia-military-institute,chad-kenna-1,2001
FR,71.0,Richard Little,G,virginia-military-institute,richard-little-1,2001
SR,81.0,Eric Mann,C,virginia-military-institute,eric-mann-1,2001
JR,68.0,Renard Phillips,G,virginia-military-institute,renard-phillips-1,2001
FR,74.0,Daron Pressley,G,virginia-military-institute,daron-pressley-1,2001
SR,79.0,Nick Richardson,F,virginia-military-institute,nick-richardson-1,2001
FR,78.0,Radee Skipworth,F,virginia-military-institute,radee-skipworth-1,2001
SO,81.0,Adam Trombley,F,virginia-military-institute,adam-trombley-1,2001
SR,80.0,Matt Caldwell,C,cal-state-fullerton,matt-caldwell-1,2001
SO,83.0,Babacar Camara,C,cal-state-fullerton,babacar-camara-1,2001
JR,77.0,Brandon Campbell,G,cal-state-fullerton,brandon-campbell-1,2001
JR,74.0,David Castleton,G,cal-state-fullerton,david-castleton-1,2001
SO,84.0,Mitch Deve,C,cal-state-fullerton,mitch-deve-1,2001
FR,75.0,Ryan Dillon,G,cal-state-fullerton,ryan-dillon-1,2001
JR,81.0,Josh Fischer,F,cal-state-fullerton,josh-fischer-1,2001
SO,,Erik Halbasch,F,cal-state-fullerton,erik-halbasch-1,2001
SR,79.0,Ike Harmon,F,cal-state-fullerton,ike-harmon-1,2001
JR,,Daniel Kohn,F,cal-state-fullerton,daniel-kohn-1,2001
JR,77.0,Kevin Richardson,G,cal-state-fullerton,kevin-richardson-1,2001
FR,69.0,Chris Smith,G,cal-state-fullerton,chris-smith-3,2001
FR,,Joe Travis,F,cal-state-fullerton,joe-travis-1,2001
JR,78.0,Arinze Anoruo,,sacramento-state,arinze-anoruo-1,2001
FR,76.0,Chris Armstrong,,sacramento-state,chris-armstrong-1,2001
SR,72.0,Rame Batta,,sacramento-state,rame-batta-1,2001
SR,75.0,Jim Brewer,G,sacramento-state,jim-brewer-2,2001
SO,73.0,Adam Casares,G,sacramento-state,adam-casares-1,2001
FR,82.0,Tony Champion,C,sacramento-state,tony-champion-1,2001
SR,78.0,Ricky Glenn,F,sacramento-state,ricky-glenn-1,2001
SR,76.0,Pablo Gonzales,G,sacramento-state,pablo-gonzales-1,2001
JR,73.0,Rene Jacques,G,sacramento-state,rene-jacques-1,2001
FR,78.0,David Joiner,F,sacramento-state,david-joiner-1,2001
SO,77.0,Derek Lambeth,F,sacramento-state,derek-lambeth-1,2001
JR,80.0,Jay Richardson,,sacramento-state,jay-richardson-1,2001
JR,80.0,Troy Selvey,C,sacramento-state,troy-selvey-1,2001
FR,79.0,Cedric Thompkins,F,sacramento-state,cedric-thompkins-1,2001
JR,70.0,Justin Burton,G,coastal-carolina,justin-burton-1,2001
JR,75.0,Torrey Butler,F,coastal-carolina,torrey-butler-1,2001
SO,75.0,Antonio Darden,F,coastal-carolina,antonio-darden-1,2001
FR,69.0,Alvin Green,G,coastal-carolina,alvin-green-1,2001
FR,70.0,Nick Hermosilla,G,coastal-carolina,nick-hermosilla-1,2001
SR,78.0,Oliver Hinckson,F,coastal-carolina,oliver-hinckson-1,2001
JR,75.0,Carl Moser,G,coastal-carolina,carl-moser-1,2001
SO,74.0,Brandon Newby,G,coastal-carolina,brandon-newby-1,2001
SO,81.0,Mihai Raducanu,C,coastal-carolina,mihai-raducanu-1,2001
SO,78.0,Clint Reed,F,coastal-carolina,clint-reed-1,2001
SO,76.0,Derrick Robinson,F,coastal-carolina,derrick-robinson-1,2001
FR,76.0,Matt Sauers,G,coastal-carolina,matt-sauers-1,2001
FR,71.0,Lorenzo Burks,G,alabama-am,lorenzo-burks-1,2001
JR,73.0,Desmond Cambridge,G,alabama-am,desmond-cambridge-1,2001
SR,72.0,Damien Crayton,G,alabama-am,damien-crayton-1,2001
SR,78.0,Rashid Floyd,F,alabama-am,rashid-floyd-1,2001
FR,,David Hall,,alabama-am,david-hall-1,2001
FR,,Keshawn Hampton,,alabama-am,keshawn-hampton-1,2001
FR,,Adrian Hargrove,,alabama-am,adrian-hargrove-1,2001
SO,70.0,Dwaynius Harris,G,alabama-am,dwaynius-harris-1,2001
FR,75.0,Terry Horton,F,alabama-am,terry-horton-1,2001
SR,80.0,Ryan Jones,F,alabama-am,ryan-jones-1,2001
SO,80.0,Rodney Kellum,F,alabama-am,rodney-kellum-1,2001
SO,77.0,Nigel Moore,F,alabama-am,nigel-moore-1,2001
SO,79.0,Garik Nicholson,F,alabama-am,garik-nicholson-1,2001
FR,,Courtney Phillips,,alabama-am,courtney-phillips-1,2001
JR,79.0,Anthony Riley,F,alabama-am,anthony-riley-1,2001
FR,79.0,Otis Walker,F,alabama-am,otis-walker-1,2001
JR,75.0,Steve Ward,G,alabama-am,steve-ward-1,2001
FR,77.0,Jeffrey Williams,F,alabama-am,jeffrey-williams-1,2001
,72.0,Dan Anderson,G,loyola-md,dan-anderson-1,2001
,80.0,Brian Carroll,F,loyola-md,brian-carroll-1,2001
FR,72.0,B.J. Davis,G,loyola-md,bj-davis-1,2001
FR,73.0,Ryan Dickey,G,loyola-md,ryan-dickey-1,2001
JR,73.0,Damien Jenifer,G,loyola-md,damien-jenifer-1,2001
,74.0,Matt Kirtland,G,loyola-md,matt-kirtland-1,2001
JR,73.0,Brant Mack,G,loyola-md,brant-mack-1,2001
,79.0,Apostolis Nasiou,F,loyola-md,apostolis-nasiou-1,2001
,83.0,Ronnie Parmer,C,loyola-md,ronnie-parmer-1,2001
FR,78.0,John Reimold,G-F,loyola-md,john-reimold-1,2001
SO,80.0,DeLonnie Southall,F,loyola-md,delonnie-southall-1,2001
FR,79.0,Donovan Thomas,F,loyola-md,donovan-thomas-1,2001
JR,78.0,Leo Almanza,F,texas-state,leo-almanza-1,2001
JR,75.0,Clay Click,G,texas-state,clay-click-1,2001
FR,72.0,Jordan Cook,G,texas-state,jordan-cook-2,2001
JR,78.0,Dain Ervin,F,texas-state,dain-ervin-1,2001
SR,72.0,Manny Flores,G,texas-state,manny-flores-1,2001
JR,79.0,Byron Hobbs,F,texas-state,byron-hobbs-1,2001
SR,77.0,Brendon Polyblank,F,texas-state,brendon-polyblank-1,2001
SO,71.0,Brady Richeson,G,texas-state,brady-richeson-1,2001
JR,80.0,Gerald Scott,F,texas-state,gerald-scott-1,2001
JR,76.0,Slaven Smiljanic,G,texas-state,slaven-smiljanic-1,2001
SO,77.0,David Sykes,F,texas-state,david-sykes-1,2001
JR,83.0,Melih Yavsaner,C,texas-state,melih-yavsaner-1,2001
JR,79.0,Chris Carswell,F,eastern-kentucky,chris-carswell-1,2001
JR,79.0,Richard Gaston,F,eastern-kentucky,richard-gaston-1,2001
SR,75.0,Lavoris Jerry,F,eastern-kentucky,lavoris-jerry-1,2001
FR,72.0,Ryan Miller,G,eastern-kentucky,ryan-miller-1,2001
SO,78.0,Jason Noll,F,eastern-kentucky,jason-noll-1,2001
JR,75.0,Spanky Parks,F-G,eastern-kentucky,spanky-parks-1,2001
JR,75.0,Clinton Sims,G,eastern-kentucky,clinton-sims-1,2001
JR,79.0,Phillip Taylor,F,eastern-kentucky,phillip-taylor-1,2001
FR,84.0,Tim Volpenhein,C,eastern-kentucky,tim-volpenhein-1,2001
SR,74.0,John White,G,eastern-kentucky,john-white-1,2001
FR,78.0,Victor Yarbrough,F,eastern-kentucky,victor-yarbrough-1,2001
SR,,Kenneth Anaebonam,C,liberty,kenneth-anaebonam-1,2001
SO,77.0,Rob Attaway,F,liberty,rob-attaway-1,2001
JR,73.0,Chris Caldwell,G,liberty,chris-caldwell-1,2001
SR,79.0,Nathan Day,F,liberty,nathan-day-1,2001
SO,,Eric Johnson,G,liberty,eric-johnson-2,2001
FR,76.0,J.R. Nicholas,G,liberty,jr-nicholas-1,2001
SO,79.0,Louvon Sneed,F,liberty,louvon-sneed-1,2001
FR,80.0,Glyn Turner,F,liberty,glyn-turner-1,2001
SR,74.0,Beau Wallace,G,liberty,beau-wallace-1,2001
FR,79.0,Philip Ward,F,liberty,philip-ward-1,2001
SR,,Maurice Watkins,G,liberty,maurice-watkins-1,2001
JR,81.0,David Watson,F-C,liberty,david-watson-1,2001
FR,75.0,Freddy Williams,G,liberty,freddy-williams-1,2001
FR,83.0,Amir Ali,C,saint-peters,amir-ali-1,2001
SR,74.0,Kalief Allen,G,saint-peters,kalief-allen-1,2001
JR,79.0,Marvin Benjamin,F,saint-peters,marvin-benjamin-2,2001
FR,74.0,Daryl Boykins,G,saint-peters,daryl-boykins-1,2001
JR,72.0,Nate Brown,G,saint-peters,nate-brown-2,2001
FR,77.0,Regis Devonish,G,saint-peters,regis-devonish-1,2001
SR,78.0,Kamaal McQueen,F,saint-peters,kamaal-mcqueen-1,2001
SR,69.0,Antoine Orr,G,saint-peters,antoine-orr-1,2001
FR,70.0,Jeff Prosdocimo,G,saint-peters,jeff-prosdocimo-1,2001
SO,77.0,Melvin Robinson,F,saint-peters,melvin-robinson-1,2001
SR,80.0,Rodney Rodgers,C,saint-peters,rodney-rodgers-1,2001
SR,77.0,Keith Sellers,F,saint-peters,keith-sellers-1,2001
FR,73.0,Greg Williams,G,saint-peters,greg-williams-2,2001
SR,,Ron Banks,F,stephen-f-austin,ron-banks-1,2001
JR,82.0,Stephen Cobb,C,stephen-f-austin,stephen-cobb-1,2001
SR,75.0,Kevin Daniels,G,stephen-f-austin,kevin-daniels-1,2001
SR,73.0,Henry Howard,G,stephen-f-austin,henry-howard-1,2001
SR,,Emanuel Jackson,F,stephen-f-austin,emanuel-jackson-1,2001
SO,72.0,Skip Jackson,G,stephen-f-austin,skip-jackson-1,2001
SR,,Milan Simic,F,stephen-f-austin,milan-simic-1,2001
JR,,Scott Spradlin,G,stephen-f-austin,scott-spradlin-1,2001
SO,76.0,Edwin Tatum,F,stephen-f-austin,edwin-tatum-1,2001
SO,,JI Thomas,G,stephen-f-austin,ji-thomas-1,2001
JR,79.0,Ransom White,F,stephen-f-austin,ransom-white-1,2001
FR,,Phillip Yates,,stephen-f-austin,phillip-yates-1,2001
SO,74.0,Landon Beckwith,G,north-carolina-at,landon-beckwith-1,2001
SO,74.0,Derek Becton,F,north-carolina-at,derek-becton-1,2001
SR,74.0,Marque Carrington,G,north-carolina-at,marque-carrington-1,2001
JR,77.0,Anthony Debro,G,north-carolina-at,anthony-debro-1,2001
SO,,Jelani Dukes,G,north-carolina-at,jelani-dukes-1,2001
JR,,Andre Jackson,F,north-carolina-at,andre-jackson-2,2001
JR,78.0,Bruce Jenkins,F,north-carolina-at,bruce-jenkins-1,2001
SR,71.0,James Miller,G,north-carolina-at,james-miller-1,2001
JR,,Jermaine Price,G,north-carolina-at,jermaine-price-1,2001
SR,78.0,Tarrell Robinson,F,north-carolina-at,tarrell-robinson-1,2001
JR,80.0,Jafar Taalib,C,north-carolina-at,jafar-taalib-1,2001
FR,,Cornelius Toliver,G,north-carolina-at,cornelius-toliver-1,2001
SO,83.0,Abraham Traore,C,north-carolina-at,abraham-traore-1,2001
FR,77.0,Curtis Boyette,,louisiana-monroe,curtis-boyette-1,2001
FR,77.0,Radoslaw Ciszkiewicz,G,louisiana-monroe,radoslaw-ciszkiewicz-1,2001
JR,76.0,Nick Coln,G,louisiana-monroe,nick-coln-1,2001
JR,71.0,Michael Hardaway,G,louisiana-monroe,michael-hardaway-1,2001
FR,72.0,Brandon Horn,G,louisiana-monroe,brandon-horn-1,2001
FR,74.0,Brandon Jones,,louisiana-monroe,brandon-jones-3,2001
FR,77.0,Mark Keith,G,louisiana-monroe,mark-keith-1,2001
SO,72.0,Mikko Kemppe,G,louisiana-monroe,mikko-kemppe-1,2001
JR,78.0,Brian Lubeck,F,louisiana-monroe,brian-lubeck-1,2001
JR,86.0,Wojciech Myrda,C,louisiana-monroe,wojciech-myrda-1,2001
JR,79.0,Kevin Paige,F,louisiana-monroe,kevin-paige-1,2001
JR,78.0,Charles Sanders,,louisiana-monroe,charles-sanders-1,2001
FR,83.0,Milan Azanjac,C,saint-francis-pa,milan-azanjac-1,2001
FR,76.0,Chad Clifford,G,saint-francis-pa,chad-clifford-1,2001
SR,72.0,Clinton Crouch,G,saint-francis-pa,clinton-crouch-1,2001
FR,76.0,Steveroy Daley,F,saint-francis-pa,steveroy-daley-1,2001
SO,77.0,Pete Fox,F,saint-francis-pa,pete-fox-1,2001
FR,76.0,Brent Lawson,F,saint-francis-pa,brent-lawson-1,2001
JR,78.0,Bryan Martin,F,saint-francis-pa,bryan-martin-1,2001
JR,79.0,Reiner Mougnol,F,saint-francis-pa,reiner-mougnol-1,2001
SR,70.0,Jamal Ragland,G,saint-francis-pa,jamal-ragland-1,2001
SR,79.0,Melvin Scott,C,saint-francis-pa,melvin-scott-1,2001
SO,72.0,Dan Swoger,G,saint-francis-pa,dan-swoger-1,2001
FR,78.0,Carl Ulmer,F,saint-francis-pa,carl-ulmer-1,2001
JR,71.0,Flinder Boyd,G,dartmouth,flinder-boyd-1,2001
SR,76.0,Greg Buth,G,dartmouth,greg-buth-1,2001
